Countryï»¿,1990,Forest Area(sq km. thousands),Number threatened Mammals,Number threatened Birds,% of total land area that is protected,% of territorial waters that are protected
Afghanistan,12,12,11,16,3.6,..
Albania,8,8,3,8,18.6,2.8
Algeria,17,20,14,15,4.6,0.1
American Samoa,0,0,1,8,15.8,8.7
Andorra,0,0,2,3,26.9,..
Angola,793,661,18,32,7,0
Antigua and Barbuda,0,0,2,3,19.9,0.3
Argentina,352,285,38,52,8.7,11.8
Armenia,3,3,9,14,24.7,..
Aruba,0,0,2,2,18.9,0
Australia,"1,339","1,340",63,52,20.4,44.3
Austria,38,39,3,13,29.5,..
Azerbaijan,10,11,8,17,10.2,0.4
"Bahamas, The",5,5,5,10,36.6,7.9
Bahrain,0,0,3,7,13,21.1
Bangladesh,19,19,37,36,4.6,5.4
Barbados,0,0,3,4,1.3,0
Belarus,79,88,4,9,13.8,..
Belgium,..,7,2,8,15.6,38.1
Belize,16,13,10,6,37.5,11
Benin,48,31,13,12,29.6,0
Bermuda,0,0,4,3,2.1,0
Bhutan,25,27,25,21,49.7,..
Bolivia,578,506,21,55,30.9,..
Bosnia and Herzegovina,22,22,4,7,4.1,0
Botswana,188,151,11,16,29.1,..
Brazil,"5,889","4,954",80,175,30.3,26.8
Brunei Darussalam,4,4,33,31,46.9,0.2
Bulgaria,33,39,8,17,41,8.1
Burkina Faso,77,62,9,12,16.4,..
Burundi,3,3,14,15,7.6,..
Cabo Verde,0,0,4,7,2.9,0
Cambodia,110,79,39,31,39.7,1.4
Cameroon,225,203,46,29,11,10.9
Canada,"3,483","3,469",18,24,12.7,9.1
Cayman Islands,0,0,1,3,10.8,0.1
Central African Republic,232,223,16,16,18.1,..
Chad,67,42,16,16,21,..
Channel Islands,0,0,..,..,..,..
Chile,152,183,19,35,21,41.4
China,"1,571","2,219",73,96,15.6,5.5
"Hong Kong SAR, China",..,..,4,21,41.9,0
"Macao SAR, China",..,..,0,4,..,..
Colombia,650,589,58,126,16.4,17.1
Comoros,0,0,5,14,33.8,0.4
"Congo, Dem. Rep.","1,506","1,251",32,42,13.9,0.2
"Congo, Rep.",223,219,15,7,36.8,3
Costa Rica,29,31,11,27,26.6,29
Cote d'Ivoire,79,27,31,25,23,0.1
Croatia,19,19,9,14,38.5,9
Cuba,21,32,10,19,16.2,3.9
Curacao,..,0,3,2,15.7,0
Cyprus,2,2,6,7,38.7,8.6
Czechia,26,27,3,9,22.2,..
Denmark,5,6,2,9,17,18.3
Djibouti,0,0,11,12,1.6,0.2
Dominica,1,0,3,7,22,0
Dominican Republic,16,22,7,17,26.4,17.3
Ecuador,146,124,47,106,23.4,19.1
"Egypt, Arab Rep.",0,0,18,14,13.1,5
El Salvador,7,6,6,7,8.6,0.7
Equatorial Guinea,27,24,23,6,19.3,0.2
Eritrea,11,11,15,21,0,0
Estonia,22,24,1,9,21.4,18.8
Eswatini,5,5,9,13,4.3,..
Ethiopia,204,170,34,35,17,..
Faroe Islands,0,0,4,6,2.3,0
Fiji,9,11,7,14,5.4,0.9
Finland,219,224,2,11,13.4,12
France,144,173,9,16,28.4,49.8
French Polynesia,1,1,0,35,2,0
Gabon,238,235,18,7,22.4,28.8
"Gambia, The",4,2,10,14,7.7,0.6
Georgia,28,28,9,14,11.1,0.7
Germany,113,114,5,11,37.6,45.5
Ghana,99,80,21,23,14.8,0.1
Greece,33,39,10,17,35.2,4.5
Greenland,0,0,9,6,41.1,4.5
Grenada,0,0,3,2,9.5,0.1
Guam,0,0,3,14,4.5,0
Guatemala,48,35,15,17,20.1,0.8
Guinea,73,61,30,20,37.6,0.5
Guinea-Bissau,22,20,14,12,27.1,9
Guyana,186,184,11,16,8.5,0
Haiti,4,3,4,17,8.6,1.5
Honduras,70,63,8,14,23.5,4.6
Hungary,18,21,3,13,22.6,..
Iceland,0,1,6,7,20.8,0.4
India,639,724,93,93,7.5,0.2
Indonesia,"1,185",915,191,160,12.2,3.1
"Iran, Islamic Rep.",91,108,18,28,8.6,0.8
Iraq,8,8,13,17,1.5,0
Ireland,5,8,5,9,14.4,2.3
Isle of Man,0,0,0,0,5.5,0
Israel,1,1,15,18,24.5,0
Italy,76,96,8,17,21.6,10.6
Jamaica,5,6,7,11,20,0.8
Japan,250,249,29,49,29.7,13.9
Jordan,1,1,13,14,4.5,1
Kazakhstan,32,35,16,27,10,50.7
Kenya,39,36,30,44,12.2,0.7
Kiribati,0,0,2,6,22.4,11.8
"Korea, Dem. People's Rep.",69,60,10,29,2.4,0
"Korea, Rep.",66,63,12,33,17,2.5
Kosovo,..,..,..,..,..,..
Kuwait,0,0,7,11,17.1,1.4
Kyrgyz Republic,11,13,5,15,6.7,..
Lao PDR,178,166,45,29,18.7,..
Latvia,32,34,1,11,18.2,16
Lebanon,1,1,10,11,1.9,0.2
Lesotho,0,0,4,8,0.5,..
Liberia,85,76,24,14,4.1,0.1
Libya,2,2,10,8,0.1,0.6
Liechtenstein,0,0,0,2,42.6,..
Lithuania,20,22,2,10,17.1,25.6
Luxembourg,..,1,0,3,55.8,..
North Macedonia,9,10,6,13,15.4,..
Madagascar,137,124,121,37,7.5,0.9
Malawi,35,22,10,19,22.9,..
Malaysia,206,191,71,63,13.3,5.6
Maldives,0,0,2,0,2.3,0.1
Mali,133,133,14,17,7.5,..
Malta,0,0,2,5,30.6,7.4
Marshall Islands,0,0,1,4,11.9,0.3
Mauritania,5,3,18,19,0.6,4.2
Mauritius,0,0,7,12,4.7,0
Mexico,706,656,96,71,14.6,21.6
"Micronesia, Fed. Sts.",1,1,5,12,0,0
Moldova,3,4,4,11,11.4,..
Monaco,0,0,3,0,10.2,99.7
Mongolia,144,142,11,24,19.8,..
Montenegro,..,8,6,13,13.9,0.6
Morocco,55,58,18,18,2.2,0.7
Mozambique,434,365,17,30,29.5,2.1
Myanmar,392,283,49,56,6.6,0.5
Namibia,88,66,15,32,37.9,1.7
Nepal,57,60,29,38,23.6,..
Netherlands,3,4,3,10,22.5,26.9
New Caledonia,8,8,9,17,59.7,96.3
New Zealand,94,99,9,69,33.4,30.4
Nicaragua,64,33,7,17,21.3,3.4
Niger,19,11,13,13,18.2,..
Nigeria,265,215,31,21,13.9,0
Northern Mariana Islands,0,0,3,17,7.7,33.2
Norway,121,122,8,11,30.5,9.8
Oman,0,0,10,13,3.6,0.3
Pakistan,50,37,25,33,12.3,0.8
Palau,0,0,4,6,44.2,100
Panama,46,42,17,25,31.4,26.8
Papua New Guinea,364,358,41,39,3.7,0.1
Paraguay,255,158,10,27,14.3,..
Peru,764,722,53,119,22.5,8
Philippines,78,72,38,93,15.9,1.7
Poland,89,95,4,11,39.6,22.6
Portugal,34,33,13,15,22.9,16.9
Puerto Rico,3,5,2,11,7.4,1.8
Qatar,0,0,4,9,15.8,2.3
Romania,64,69,9,17,24.5,23.1
Russian Federation,"8,090","8,153",34,57,11.5,2.2
Rwanda,3,3,24,20,9.1,..
Samoa,2,2,2,6,8.2,0.1
San Marino,0,0,0,0,..,..
Sao Tome and Principe,1,1,4,12,29.3,0
Saudi Arabia,10,10,11,18,4.8,2.5
Senegal,93,80,19,19,26.4,1.9
Serbia,..,27,6,13,8.1,..
Seychelles,0,0,6,13,61.5,32.8
Sierra Leone,31,25,22,16,12.7,1.6
Singapore,0,0,14,22,5.6,0
Sint Maarten (Dutch part),..,0,2,1,0.7,8.7
Slovak Republic,19,19,4,12,37.6,..
Slovenia,12,12,6,10,40.4,2.3
Solomon Islands,25,25,19,24,2,0.1
Somalia,83,59,16,21,0,0
South Africa,181,170,30,54,9.3,15.5
South Sudan,..,72,14,21,15.5,..
Spain,139,186,17,19,28.1,12.8
Sri Lanka,24,21,30,16,29.9,0.1
St. Kitts and Nevis,0,0,2,3,22.9,4
St. Lucia,0,0,2,7,18.7,0.2
St. Martin (French part),..,0,2,1,12.8,96.4
St. Vincent and the Grenadines,0,0,2,4,22.4,0.2
Sudan,307,182,16,26,2.3,16
Suriname,154,152,9,9,14.5,1.5
Sweden,281,280,1,11,15.4,15.8
Switzerland,12,13,3,9,12.1,..
Syrian Arab Republic,4,5,14,17,0.7,0.2
Tajikistan,4,4,7,15,22.3,..
Tanzania,574,453,41,49,38.4,3
Thailand,194,198,59,62,18.5,4.4
Timor-Leste,10,9,5,6,16,1.4
Togo,14,12,13,13,28,0.2
Tonga,0,0,2,5,12.6,0.1
Trinidad and Tobago,2,2,2,5,30.6,0
Tunisia,6,7,14,11,7.9,1
Turkiye,198,224,19,20,7,1.8
Turkmenistan,41,41,10,19,3.2,3
Turks and Caicos Islands,0,0,2,4,44.4,0.1
Tuvalu,0,0,2,1,13.2,0
Uganda,36,23,31,30,16.1,..
Ukraine,93,97,11,17,13,9.2
United Arab Emirates,2,3,8,13,19.4,11.5
United Kingdom,28,32,5,11,27.8,44.1
United States,"3,025","3,098",40,91,13,19
Uruguay,8,21,10,22,3.7,0.8
Uzbekistan,26,37,10,19,5.8,..
Vanuatu,4,4,8,8,4.2,0
"Venezuela, RB",520,462,35,52,56.9,4.4
Viet Nam,94,147,56,52,7.6,0.6
Virgin Islands (U.S.),0,0,1,3,14.4,0.9
West Bank and Gaza,0,0,4,15,8.4,..
"Yemen, Rep.",5,5,11,16,0.8,0.5
Zambia,474,446,13,20,41.3,..
Zimbabwe,188,174,10,19,27.2,..
