Countryï»¿,Energy Production Total (million metric tons of oil equivilent),% of total energy use that is fossil fules,% of total energy use that is alternative and nuclear
Afghanistan,..,..,..
Albania,2,61.4,24.5
Algeria,143.2,100,0
American Samoa,..,..,..
Andorra,..,..,..
Angola,94.1,48.3,2.5
Antigua and Barbuda,..,..,..
Argentina,75.3,87.7,5.5
Armenia,0.8,74.6,25.7
Aruba,..,..,..
Australia,379,89.6,2.2
Austria,12,65.7,12.2
Azerbaijan,58.8,98.4,0.6
"Bahamas, The",..,..,..
Bahrain,22.9,99.4,0
Bangladesh,29.5,73.8,0.2
Barbados,..,..,..
Belarus,3.7,92.4,0.1
Belgium,10.5,75.9,15.1
Belize,..,..,..
Benin,2.3,36.7,0
Bermuda,..,..,..
Bhutan,..,..,..
Bolivia,23.2,84.2,2
Bosnia and Herzegovina,6,77.5,4.3
Botswana,1.5,74.7,0
Brazil,267.2,59.1,10.8
Brunei Darussalam,16.3,100,0
Bulgaria,11.4,71,25.8
Burkina Faso,..,..,..
Burundi,..,..,..
Cabo Verde,..,..,..
Cambodia,4.3,30.6,3.3
Cameroon,9.8,38.3,4.6
Canada,470.1,74.1,19.8
Cayman Islands,..,..,..
Central African Republic,..,..,..
Chad,..,..,..
Channel Islands,..,..,..
Chile,12.5,74.6,5.7
China,"2,593.10",87.7,5.1
"Hong Kong SAR, China",0.2,93.2,0.1
"Macao SAR, China",..,..,..
Colombia,127.2,76.7,9.2
Comoros,..,..,..
"Congo, Dem. Rep.",28.2,5.4,2.4
"Congo, Rep.",15.7,40.5,1.4
Costa Rica,2.5,49.9,14.2
Cote d'Ivoire,12.9,26.5,0.8
Croatia,4.4,70.7,11.9
Cuba,5.9,85.6,0.1
Curacao,0,..,..
Cyprus,0.1,92.9,5.2
Czechia,27.8,77.7,19
Denmark,15.7,64.9,11.7
Djibouti,..,..,..
Dominica,..,..,..
Dominican Republic,1,86.6,2.3
Ecuador,30.4,86.9,6.2
"Egypt, Arab Rep.",80.4,97.9,1.5
El Salvador,2.1,48.4,6.3
Equatorial Guinea,..,..,..
Eritrea,0.6,23.1,0
Estonia,5.6,13.1,0.9
Eswatini,..,..,..
Ethiopia,45.5,6.6,1.2
Faroe Islands,..,..,..
Fiji,..,..,..
Finland,17.7,40.2,25.4
France,137.3,46.5,49.1
French Polynesia,..,..,..
Gabon,15.9,22.8,1.2
"Gambia, The",..,..,..
Georgia,1.4,72.2,15.7
Germany,120.4,78.9,12.9
Ghana,9.8,52.5,5.9
Greece,8.5,82.6,6.2
Greenland,..,..,..
Grenada,..,..,..
Guam,..,..,..
Guatemala,8.9,37.4,2.6
Guinea,..,..,..
Guinea-Bissau,..,..,..
Guyana,..,..,..
Haiti,3.2,22,0.1
Honduras,2.5,52.5,3.3
Hungary,10.1,69.5,18.5
Iceland,5.1,11.3,37.5
India,541.8,73.6,2.7
Indonesia,458,66.1,0.8
"Iran, Islamic Rep.",316.2,99,0.9
Iraq,163,96,0.3
Ireland,1.9,85.3,4.8
Isle of Man,..,..,..
Israel,8.2,97.4,5.2
Italy,35.5,79.9,6.3
Jamaica,0.5,81,0.6
Japan,30.4,93,3.1
Jordan,0.3,97.6,1.9
Kazakhstan,166.3,99.2,0.6
Kenya,19.6,17.4,2.2
Kiribati,..,..,..
"Korea, Dem. People's Rep.",20.8,62.1,7
"Korea, Rep.",51.2,81,16
Kosovo,1.6,86.1,0.5
Kuwait,166.4,93.7,0
Kyrgyz Republic,1.9,75.5,22.7
Lao PDR,..,..,..
Latvia,2.4,56.7,6.8
Lebanon,0.2,97.6,0.5
Lesotho,..,..,..
Liberia,..,..,..
Libya,36.3,99.1,0
Liechtenstein,..,..,..
Lithuania,1.7,68,3.8
Luxembourg,0.1,80.6,3.7
North Macedonia,1.3,79.4,5.5
Madagascar,..,..,..
Malawi,..,..,..
Malaysia,94.6,96.6,1.2
Maldives,..,..,..
Mali,..,..,..
Malta,0,97.8,1.5
Marshall Islands,..,..,..
Mauritania,..,..,..
Mauritius,0.2,84.5,0.8
Mexico,196.1,90.4,3.5
"Micronesia, Fed. Sts.",..,..,..
Moldova,0.3,88.7,0.8
Monaco,..,..,..
Mongolia,14.4,93.2,0.3
Montenegro,0.7,64.7,13
Morocco,1.8,88.5,1.6
Mozambique,18,12.6,9.2
Myanmar,25.7,44.3,3.1
Namibia,0.5,66.7,17.8
Nepal,9.7,15.5,5.2
Netherlands,46.6,93.5,3.4
New Caledonia,..,..,..
New Zealand,16.4,59.7,14
Nicaragua,2.2,40.7,3.3
Niger,3.1,24.1,0
Nigeria,260,18.9,0.3
Northern Mariana Islands,..,..,..
Norway,205.7,57,31.3
Oman,74.5,100,0
Pakistan,68.2,61.6,4
Palau,..,..,..
Panama,0.8,80.7,8.9
Papua New Guinea,..,..,..
Paraguay,7.1,33.7,16.3
Peru,27.3,79.6,7.2
Philippines,25.9,62.4,2.9
Poland,67.6,90.3,1.1
Portugal,5.1,77,8
Puerto Rico,..,..,..
Qatar,219.9,100,0
Romania,26.4,72.5,14.5
Russian Federation,"1,305.70",92.1,8.2
Rwanda,..,..,..
Samoa,..,..,..
San Marino,..,..,..
Sao Tome and Principe,..,..,..
Saudi Arabia,622.4,99.9,0
Senegal,1.9,53.9,0.6
Serbia,9.4,83.9,5.7
Seychelles,..,..,..
Sierra Leone,..,..,..
Singapore,0.6,90.6,0.2
Sint Maarten (Dutch part),..,..,..
Slovak Republic,6.4,64.1,27.5
Slovenia,3.4,61.1,28.2
Solomon Islands,..,..,..
Somalia,..,..,..
South Africa,168.3,86.8,2.7
South Sudan,8.1,72.2,0
Spain,34.1,73,20
Sri Lanka,5.3,50.5,3.4
St. Kitts and Nevis,..,..,..
St. Lucia,..,..,..
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,..,..,..
Sudan,16.3,31.7,4.4
Suriname,1,76.3,15.2
Sweden,37.7,25.1,43.2
Switzerland,12.2,50.2,39.9
Syrian Arab Republic,5.6,97.8,1.4
Tajikistan,1.8,46,37.5
Tanzania,22.2,14.4,0.7
Thailand,78.7,79.8,1.1
Timor-Leste,..,..,..
Togo,2.6,17.8,2.4
Tonga,..,..,..
Trinidad and Tobago,39.7,99.9,0
Tunisia,6.7,88.9,0.8
Turkiye,32.2,86.8,6.7
Turkmenistan,78,..,0
Turks and Caicos Islands,..,..,..
Tuvalu,..,..,..
Uganda,..,..,..
Ukraine,76.9,75.3,22.5
United Arab Emirates,200,86.1,0.1
United Kingdom,117.7,80.4,13.1
United States,"2,022.80",82.4,11.9
Uruguay,2.6,46.3,14.8
Uzbekistan,55.8,97.7,1.9
Vanuatu,..,..,..
"Venezuela, RB",185.7,88.4,8.2
Viet Nam,71.2,69.8,6.9
Virgin Islands (U.S.),..,..,..
West Bank and Gaza,..,..,..
"Yemen, Rep.",16.1,98.5,0
Zambia,9.1,10.6,9.7
Zimbabwe,11.5,29.1,3.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
