Gender,Number of Candles
Female,0
Male,2
Male,1
Female,1
Male,1
Female,1
Male,0
Male,0
Male,2
Male,1
Female,0
Female,0
Male,2
Male,1
Male,0
Male,3
Female,0
Male,1
Female,2
Female,3
Female,3
Male,0
Male,0
Male,1
Female,0
Female,4
Female,0
Male,0
Male,0
Female,1
Male,0
Female,0
Male,0
Male,0
Female,0
Female,0
Male,0
Female,0
Male,0
Female,0
Male,3
Male,0
Female,8
Female,0
Male,0
Male,0
Male,0
Female,0
Male,0
Female,1
Male,0
Female,2
Male,0
Female,0
Female,0
Male,0
Female,5
Male,0
Male,0
Male,3
Male,1
Female,0
Female,2
Male,0
Male,0
Female,1
Male,1
Female,0
Male,0
Female,4
Female,0
Female,0
Female,0
Male,0
Female,1
Male,0
Female,0
Male,0
Male,0
Male,6
Female,0
Female,0
Male,1
Female,0
Male,0
Female,1
Female,1
Male,4
Female,0
Female,0
Male,0
Female,0
Female,2
Female,2
Female,0
Female,0
Female,0
Male,0
Female,1
Female,0
Female,1
Male,3
Male,3
Female,2
Male,1
Female,1
Female,3
Female,3
Female,0
Male,0
Male,0
Female,0
Male,1
Female,0
Female,0
Female,6
Female,0
Female,1
Female,0
Female,4
Female,0
Female,1
Male,0
Female,2
Female,0
Female,0
Female,0
Male,0
Male,1
Male,0
Male,1
Female,1
Male,4
Male,3
Male,2
Female,0
Male,0
Male,2
Female,1
Male,1
Male,0
Female,0
Male,0
Female,2
Male,1
Female,1
Female,0
Female,4
Female,0
Male,2
Female,0
Female,0
Female,2
Male,1
Male,0
Male,0
Female,0
Female,0
Female,1
Female,1
Female,0
Male,2
Male,0
Female,0
Male,2
Female,0
Female,1
Female,0
Female,3
Male,2
Female,1
Male,3
Male,0
Male,2
Male,0
Female,2
Male,0
Female,1
Female,4
Male,1
Female,2
Male,0
Male,0
Female,0
Female,4
Female,0
Female,0
Male,1
Female,0
Male,0
Male,1
Male,2
Female,0
Female,2
Male,5
Female,2
Female,1
Male,0
Female,1
Female,1
Male,2
Male,1
Female,3
Female,4
Female,0
Female,0
Female,1
Male,0
Male,3
Male,0
Female,3
Male,0
Male,0
Male,1
Male,1
Female,0
Female,0
Female,0
Male,0
Female,0
Female,1
Female,0
Female,2
Female,0
Male,0
Female,0
Male,0
Female,0
Male,1
Female,0
Male,1
Female,0
Female,0
Male,3
Female,1
Female,4
Female,2
Female,0
Male,2
Male,3
Male,1
Male,0
Female,0
Male,2
Male,0
Male,1
Female,0
Female,1
Male,1
Male,0
Male,0
Male,0
Female,0
Female,2
Male,0
Male,1
Female,0
Female,1
Female,0
Male,1
Male,2
Male,2
Male,0
Male,0
Female,0
Male,0
Male,0
Male,1
Male,1
Male,2
Male,0
Female,0
Male,2
Male,0
Male,0
Female,0
Male,0
Male,1
Male,0
Male,1
Female,2
Female,2
Male,2
Female,0
Female,5
Female,0
Female,0
Female,1
Male,0
Female,7
Female,0
Female,0
Male,0
Female,0
Female,2
Male,0
Male,2
Female,0
Male,0
Male,1
Male,0
Female,0
Female,0
Female,1
Male,1
Male,0
Male,1
Male,0
Male,1
Female,0
Female,0
Male,0
Female,0
Female,1
Male,1
Female,1
Female,3
Male,0
Female,0
Male,1
Male,0
Male,1
Male,2
Female,2
Female,4
Female,2
Female,2
Female,1
Female,15
Female,2
Male,0
Female,0
Male,2
Female,0
Male,0
Male,0
Male,0
Male,0
Female,1
Female,0
Female,0
Female,0
Male,2
Female,0
Male,0
Male,1
Male,1
Male,1
Female,0
Male,1
Male,0
Female,0
Female,2
Male,4
Female,0
Male,0
Female,0
Female,2
Male,2
Male,0
Female,0
Male,1
Male,2
Male,0
Female,4
Male,1
Female,0
Female,4
Female,0
Male,0
Male,0
Female,0
Female,0
Female,0
Female,1
Male,0
Female,1
Male,3
Male,0
Male,0
Female,0
Female,0
Female,0
Male,1
Female,0
Female,0
Female,1
Female,1
Male,0
Female,2
Female,1
Male,1
Female,1
Female,0
Male,1
Female,1
Male,4
Female,0
Female,1
Male,4
Female,3
Male,1
Male,0
Male,0
Male,1
Female,1
Female,0
Male,0
Male,5
Female,0
Female,4
Female,2
Female,1
Male,1
Female,1
Male,1
Male,0
Female,2
Male,0
Male,4
Male,0
Female,2
Female,0
Female,0
Male,0
Male,3
Male,0
Female,3
Male,0
Male,0
Female,0
Female,0
Male,1
Male,0
Female,0
Female,1
Male,1
Female,1
Female,1
Male,0
Female,0
Female,1
Female,0
Male,1
Male,0
Male,0
Female,0
Female,1
Female,3
Male,2
Female,0
Male,0
Male,1
Male,1
Male,0
Male,3
Male,1
Female,0
Male,0
Female,0
Male,0
Male,0
Female,0
Female,5
Male,2
Male,2
Male,2
Female,2
Female,0
Male,1
Female,1
Male,0
Male,2
Female,0
Female,3
Male,0
Female,4
Female,0
Female,0
Female,2
Female,0
Male,5
Male,0
Male,1
Male,0
Female,1
Female,0
Male,0
Male,0
Female,0
Female,0
Male,0
Female,3
Female,0
Male,0
Female,1
Male,0
Female,2
Female,1
Male,0
Female,1
Male,0
Female,1
Female,3
Male,1
Female,3
Female,0
Male,0
Female,3
Female,0
Female,3
Female,0
Female,0
Male,0
Male,1
Female,2
Male,0
Female,1
Female,0
Female,1
Male,0
Female,0
Male,3
Female,0
Male,1
Male,0
Male,0
Male,3
Female,2
Male,1
Female,1
Female,1
Male,0
Male,2
Male,0
Female,0
Male,0
Male,1
Male,1
Male,0
Male,2
Male,0
Male,0
Male,0
Male,0
Female,0
Female,1
Female,2
Female,2
Female,1
Female,0
Female,0
Female,3
Male,3
Male,0
Female,3
Male,0
Female,1
Female,1
Male,2
Male,0
Female,0
Male,0
Male,5
Male,1
Female,1
Female,4
Female,3
Male,1
Male,0
Male,0
Male,3
Male,0
Female,0
Male,0
Male,1
Female,0
Male,0
Female,0
Female,0
Male,0
Male,0
Female,2
Male,4
Female,0
Female,7
Female,0
Female,1
Male,0
Male,0
Male,1
Male,1
Male,2
Male,0
Female,1
Female,1
Male,0
Female,0
Male,1
Male,0
Male,1
Male,0
Female,1
Male,1
Female,0
Male,2
Male,5
Male,0
Male,0
Female,0
Female,3
Male,1
Male,1
Female,0
Male,0
Male,4
Female,0
Female,1
Male,2
Male,1
Female,5
Female,0
Male,0
Female,2
Male,0
Female,2
Male,0
Male,0
Female,0
Female,0
Female,0
Female,0
Female,3
Male,0
Female,0
Female,0
Female,0
Female,0
Male,0
Female,0
Male,2
Male,0
Female,0
Female,1
Male,2
Female,0
Female,1
Male,3
Female,0
Female,0
