Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Salary
A.J. Price,28,TOT,26,32,46,7,0,14,133,62552
Aaron Brooks,30,CHI,82,166,261,54,15,157,954,1145685
Aaron Gordon,19,ORL,47,169,33,21,22,38,243,3992040
Adreian Payne,23,TOT,32,162,30,19,9,44,213,1855320
Al Horford,28,ATL,76,544,244,68,98,100,1156,12000000
Al Jefferson,30,CHO,65,548,113,47,84,68,1082,13666667
Al-Farouq Aminu,24,DAL,74,342,59,70,62,55,412,1100602
Alan Anderson,32,BRK,74,204,83,56,5,60,545,1276061
Alec Burks,23,UTA,27,114,82,17,5,52,374,3034356
Alex Kirk,23,CLE,5,1,1,0,0,0,4,507336
Alex Len,21,PHO,69,454,32,34,105,74,432,3649920
Alexey Shved,26,TOT,42,99,106,30,6,48,434,3282056
Alexis Ajinca,26,NOP,68,315,47,21,51,69,443,981084
Allen Crabbe,22,POR,51,73,39,19,15,15,168,862000
Alonzo Gee,27,TOT,54,94,25,35,7,33,241,1063384
Amar'e Stoudemire,32,TOT,59,329,45,29,38,78,680,23410988
Amir Johnson,27,TOR,75,456,117,44,59,110,694,7000000
Anderson Varejao,32,CLE,26,170,35,19,16,35,255,9704595
Andre Dawkins,23,MIA,4,2,1,0,0,1,3,29843
Andre Drummond,21,DET,82,1104,55,73,153,120,1130,2568360
Andre Iguodala,31,GSW,77,257,228,89,25,88,604,12289544
Andre Miller,38,TOT,81,153,284,32,6,104,355,4625000
Andre Roberson,23,OKC,67,255,70,53,29,46,228,1160880
Andrea Bargnani,29,NYK,29,127,46,2,27,42,430,11500000
Andrei Kirilenko,33,BRK,7,8,1,1,0,1,3,3326235
Andrew Bogut,30,GSW,67,543,180,39,113,106,422,12972973
Andrew Nicholson,25,ORL,40,82,22,6,12,24,194,1545840
Andrew Wiggins,19,MIN,82,374,170,86,50,177,1387,5510640
Anthony Bennett,21,MIN,57,216,48,27,16,36,298,5563920
Anthony Davis,21,NOP,68,696,149,100,200,95,1656,5607240
Anthony Morrow,29,OKC,74,195,60,54,11,38,790,3200000
Anthony Tolliver,29,TOT,76,236,59,24,16,51,482,3000000
Archie Goodwin,20,PHO,41,74,44,18,9,48,231,1112280
Arinze Onuaku,27,MIN,6,21,4,1,3,2,27,43226
Aron Baynes,28,SAS,70,318,35,16,22,65,461,2077000
Arron Afflalo,29,TOT,78,247,129,41,7,116,1035,7750000
Austin Daye,26,TOT,34,75,17,12,5,23,129,1063384
Austin Rivers,22,TOT,76,152,155,48,14,65,530,2439840
Avery Bradley,24,BOS,77,241,135,82,15,109,1071,7191011
Ben Gordon,31,ORL,56,63,50,14,1,55,349,4500000
Ben McLemore,21,SAC,82,241,140,77,19,138,996,3026280
Beno Udrih,32,MEM,79,143,220,46,8,89,605,2077000
Bernard James,29,DAL,16,39,4,2,15,6,44,915243
Bismack Biyombo,22,CHO,64,407,16,18,99,52,304,3873398
Blake Griffin,25,LAC,67,508,354,63,35,152,1469,17674613
Bojan Bogdanovic,25,BRK,78,213,68,34,9,78,700,3278000
Boris Diaw,32,SAS,81,348,233,36,23,126,708,8000000
Bradley Beal,21,WAS,63,241,194,76,18,123,962,4505280
Brandan Wright,27,TOT,75,321,41,50,94,34,544,5000000
Brandon Bass,29,BOS,82,398,104,41,32,83,866,6900000
Brandon Davies,23,TOT,27,83,30,18,7,29,142,816482
Brandon Jennings,25,DET,41,104,272,44,4,90,632,8000000
Brandon Knight,23,TOT,63,244,330,90,10,189,1070,3553917
Brandon Rush,29,GSW,33,41,12,5,12,11,30,1145685
Brendan Haywood,35,CLE,22,29,2,2,10,10,35,2213688
Brian Roberts,29,CHO,72,109,162,33,6,57,480,2732000
Brook Lopez,26,BRK,72,535,50,43,126,104,1236,15719063
Bruno Caboclo,19,TOR,8,2,0,0,1,4,10,1458360
Bryce Cotton,22,UTA,15,18,15,4,0,12,80,92514
C.J. McCollum,23,POR,62,91,64,43,8,48,424,2421000
C.J. Miles,27,IND,70,214,75,60,26,73,942,4205000
C.J. Watson,30,IND,57,163,208,57,9,100,570,2106720
C.J. Wilcox,24,LAC,21,7,8,3,1,10,41,1109760
Cameron Bairstow,24,CHI,18,8,1,2,1,3,10,507336
Carl Landry,31,SAC,70,268,26,15,17,54,503,6500000
Carlos Boozer,33,LAL,71,482,95,41,12,92,836,13550000
Carmelo Anthony,30,NYK,40,264,122,40,17,89,966,22458401
Caron Butler,34,DET,78,196,79,43,4,49,460,4500000
Cartier Martin,30,DET,23,20,11,3,1,5,36,1145686
Chandler Parsons,26,DAL,66,323,161,69,19,96,1037,14700000
Channing Frye,31,ORL,75,293,94,47,39,78,549,8579088
Charlie Villanueva,30,DAL,64,149,19,15,22,28,403,1316809
Chase Budinger,26,MIN,67,198,64,44,10,49,457,5000000
Chris Andersen,36,MIA,60,299,43,26,61,40,320,5375000
Chris Bosh,30,MIA,44,310,95,41,25,95,928,20644400
Chris Copeland,30,IND,50,111,51,11,11,59,309,3135000
Chris Douglas-Roberts,28,LAC,12,12,4,1,0,0,19,948163
Chris Johnson,24,TOT,29,55,15,26,7,15,166,948163
Chris Kaman,32,POR,74,484,65,18,54,108,638,4800000
Chris Paul,29,LAC,82,376,838,156,15,190,1564,20068563
Chuck Hayes,31,TOR,29,51,20,10,4,8,50,5958750
Cleanthony Early,23,NYK,39,97,36,24,12,40,210,507336
Clint Capela,20,HOU,12,36,2,1,9,5,32,1189200
Cody Zeller,22,CHO,62,362,100,34,49,62,472,4030560
Cole Aldrich,26,NYK,61,338,75,37,65,59,338,981084
Corey Brewer,28,TOT,80,297,173,114,19,131,917,4702500
Cory Jefferson,24,BRK,50,145,16,10,21,20,183,507336
Cory Joseph,23,SAS,79,192,188,46,17,67,535,2023261
Courtney Lee,29,MEM,77,178,151,75,12,78,777,5450000
D.J. Augustin,27,TOT,82,161,353,49,3,145,777,3000000
Dahntay Jones,34,LAC,33,11,2,3,0,1,21,613478
Damian Lillard,24,POR,82,378,507,97,21,222,1720,3340920
Damjan Rudez,28,IND,68,47,53,16,5,47,323,1100000
Danilo Gallinari,26,DEN,59,218,83,47,20,57,734,10854850
Danny Granger,31,MIA,30,80,17,13,6,24,188,2077000
Danny Green,27,SAS,81,343,158,101,87,93,946,4025000
Dante Cunningham,27,NOP,66,256,50,46,37,35,340,831942
Dante Exum,19,UTA,82,131,198,41,14,118,393,3615000
Darius Miller,24,NOP,5,1,2,1,0,1,2,400000
Darius Morris,24,BRK,38,27,48,9,0,21,83,702756
Darrell Arthur,26,DEN,58,171,57,48,26,47,382,3457149
Darren Collison,27,SAC,45,143,252,67,14,112,725,4797664
David Lee,31,GSW,49,257,85,31,26,49,388,15012000
David Stockton,23,SAC,3,2,9,2,0,4,8,29843
David Wear,24,SAC,2,2,1,0,0,0,0,29843
David West,34,IND,66,449,223,48,48,120,769,12000000
DeAndre Jordan,26,LAC,82,1226,61,81,183,109,946,11440124
DeJuan Blair,25,WAS,29,56,3,7,1,13,56,2000000
DeMar DeRozan,25,TOR,60,277,210,73,11,137,1204,10100000
DeMarcus Cousins,24,SAC,59,747,210,90,103,254,1421,14746000
DeMarre Carroll,28,ATL,70,372,118,94,17,75,883,2442455
Dennis Schroder,21,ATL,77,164,317,49,4,150,768,1690680
Deron Williams,30,BRK,68,237,448,64,17,154,884,19754465
Derrick Favors,23,UTA,74,607,112,60,123,121,1187,12950000
Derrick Rose,26,CHI,51,161,251,36,16,161,904,18862876
Derrick Williams,23,SAC,74,202,50,34,4,56,617,6331404
Devin Harris,31,DAL,76,135,237,78,14,85,665,3878896
Devyn Marble,22,ORL,16,31,17,9,2,9,37,884879
Dewayne Dedmon,25,ORL,59,295,9,16,50,51,216,816482
Dion Waiters,23,TOT,80,192,163,90,21,113,940,4062000
Dirk Nowitzki,36,DAL,77,457,143,39,33,82,1333,7974482
Donald Sloan,27,IND,53,143,190,23,0,65,391,948163
Donatas Motiejunas,24,HOU,71,421,130,56,34,123,855,1483920
Dorell Wright,29,POR,48,111,41,20,11,18,219,3150000
Doug McDermott,23,CHI,36,43,6,4,1,17,109,2277960
Draymond Green,24,GSW,79,647,291,123,99,133,921,915243
Drew Gooden,33,WAS,51,223,49,21,9,28,277,6680000
Drew Gordon,24,PHI,9,18,2,1,0,8,17,507336
Dwight Buycks,25,LAL,6,12,14,3,0,12,52,62437
Dwight Howard,29,HOU,41,431,50,28,53,115,646,21436271
Dwight Powell,23,TOT,29,50,9,9,6,11,90,507336
Dwyane Wade,33,MIA,62,219,299,73,21,209,1331,15000000
E'Twaun Moore,25,CHI,56,46,33,20,6,14,149,948163
Earl Barron,33,PHO,16,28,5,4,2,5,32,262057
Earl Clark,27,BRK,10,23,3,3,4,6,27,62552
Ed Davis,25,LAL,79,600,94,49,98,58,656,981084
Ekpe Udoh,27,LAC,33,26,8,8,7,7,29,981084
Elfrid Payton,20,ORL,82,349,533,142,20,203,731,2397840
Elijah Millsap,27,UTA,47,150,58,56,16,67,248,241731
Elliot Williams,25,TOT,13,8,12,4,0,4,37,57711
Elton Brand,35,ATL,36,100,22,17,25,18,96,2000000
Enes Kanter,22,TOT,75,671,55,36,29,145,1163,5694674
Eric Bledsoe,25,PHO,81,423,493,127,45,274,1377,13000000
Eric Gordon,26,NOP,61,159,229,50,14,122,818,14898938
Eric Moreland,23,SAC,3,1,0,0,0,0,2,507336
Erick Green,23,DEN,43,31,39,12,0,14,146,507336
Ersan Ilyasova,27,MIL,58,277,56,36,19,45,669,7900000
Evan Fournier,22,ORL,58,153,120,40,2,82,698,1483920
Evan Turner,26,BOS,82,417,449,83,19,198,779,3278000
Festus Ezeli,25,GSW,46,155,9,7,42,32,201,1112880
Francisco Garcia,33,HOU,14,17,15,9,5,10,45,1316809
Furkan Aldemir,23,PHI,41,176,28,17,16,17,93,3116159
Gal Mekel,26,NOP,4,1,13,2,0,2,6,816482
Garrett Temple,28,WAS,52,90,56,42,9,34,204,981084
Gary Harris,20,DEN,55,64,29,39,7,38,188,1519200
Gary Neal,30,TOT,54,129,100,23,1,65,543,3250000
George Hill,28,IND,43,179,220,44,14,69,692,8000000
Gerald Green,29,PHO,74,186,91,42,12,104,884,3500000
Gerald Henderson,27,CHO,80,273,206,51,22,110,969,6000000
Gerald Wallace,32,BOS,32,57,11,15,4,18,35,10105855
Giannis Antetokounmpo,20,MIL,81,542,207,73,85,173,1030,1873200
Glen Davis,29,LAC,74,169,39,41,21,39,294,6600000
Glen Rice,24,WAS,5,4,2,0,0,2,11,816482
Glenn Robinson III,21,TOT,35,39,11,6,1,11,73,507336
Goran Dragic,28,TOT,78,274,350,78,15,173,1275,7500000
Gordon Hayward,24,UTA,76,373,313,108,30,206,1463,14746000
Gorgui Dieng,25,MIN,73,609,146,71,126,126,710,1413480
Grant Jerrett,21,TOT,8,9,3,2,2,3,16,816481
Greg Monroe,24,DET,69,704,142,78,34,149,1098,5479934
Greg Smith,24,DAL,42,79,9,7,11,11,80,948163
Greg Stiemsma,29,TOR,17,15,3,2,0,7,14,981084
Greivis Vasquez,28,TOR,82,216,302,46,10,119,775,6400000
Harrison Barnes,22,GSW,82,453,116,61,19,71,827,3049920
Hassan Whiteside,25,MIA,48,482,6,27,123,58,564,769881
Hedo Turkoglu,35,LAC,62,99,37,19,7,29,232,1448490
Henry Sims,24,PHI,73,359,79,39,30,99,586,915243
Henry Walker,27,MIA,24,82,29,24,9,24,175,196217
Hollis Thompson,23,PHI,71,198,85,57,26,66,626,816482
Ian Clark,23,TOT,30,16,12,9,3,9,57,816482
Ian Mahinmi,28,IND,61,356,33,30,46,59,265,4000000
Iman Shumpert,24,TOT,62,224,135,81,16,91,496,2616975
Isaiah Canaan,23,TOT,47,87,98,29,3,62,432,816482
Isaiah Thomas,25,TOT,67,153,284,57,5,143,1101,7238606
Ish Smith,26,TOT,55,100,180,36,6,78,338,981084
J.J. Barea,30,DAL,77,134,263,33,1,70,580,1302578
J.J. Hickson,26,DEN,73,452,57,36,35,96,552,5381750
J.J. Redick,30,LAC,78,167,137,39,8,95,1277,6792500
J.R. Smith,29,TOT,70,218,195,82,22,97,847,6516000
Jabari Brown,22,LAL,19,36,40,12,2,32,227,44765
Jabari Parker,19,MIL,25,138,42,31,5,47,308,4930560
Jack Cooley,23,UTA,16,25,1,6,3,3,27,65000
Jae Crowder,24,TOT,82,293,94,72,25,49,628,915243
JaKarr Sampson,21,PHI,74,163,77,38,26,76,386,507336
Jamaal Franklin,23,DEN,3,2,3,0,1,3,3,163296
Jamal Crawford,34,LAC,64,124,158,59,14,92,1010,5450000
Jameer Nelson,32,TOT,63,146,253,47,6,109,523,2732000
James Ennis,24,MIA,62,176,48,25,17,39,312,507336
James Harden,25,HOU,81,459,565,154,60,321,2217,14728844
James Johnson,27,TOR,70,257,95,54,70,79,554,2500000
James Jones,34,CLE,57,62,24,13,8,13,250,1448490
James McAdoo,22,GSW,15,37,2,5,9,6,62,167122
James Young,19,BOS,31,42,13,8,2,5,105,1674480
JaMychal Green,24,TOT,24,45,4,5,5,14,62,134295
Jannero Pargo,35,CHO,9,3,8,0,0,3,41,1448490
Jared Cunningham,23,LAC,19,9,10,3,0,7,35,398400
Jared Dudley,29,MIL,72,220,130,72,11,62,518,4250000
Jared Sullinger,22,BOS,58,441,134,44,42,78,770,1424520
Jarnell Stokes,21,MEM,19,34,4,5,5,7,57,725000
Jarrett Jack,31,BRK,80,245,373,75,13,191,957,6300000
Jason Maxiell,31,CHO,61,203,19,18,44,29,203,1316809
Jason Richardson,34,PHI,19,66,38,13,3,16,172,6601125
Jason Smith,28,NYK,82,324,140,32,44,104,656,3278000
Jason Terry,37,HOU,77,121,147,66,19,74,541,5850313
Jason Thompson,28,SAC,81,530,85,33,57,84,491,6037500
JaVale McGee,27,TOT,23,61,3,2,20,18,106,11250000
Jeff Adrien,28,MIN,17,77,15,4,9,9,60,981084
Jeff Ayres,27,SAS,51,117,14,8,8,26,137,1828750
Jeff Green,28,TOT,78,328,134,53,34,108,1168,9445000
Jeff Teague,26,ATL,73,184,513,125,31,205,1162,8000000
Jeff Withey,24,NOP,37,64,11,4,18,12,98,816482
Jeffery Taylor,25,CHO,29,53,22,12,1,19,127,915243
Jerami Grant,20,PHI,65,198,79,40,68,85,411,884879
Jerel McNeal,27,PHO,6,3,2,3,1,5,9,53838
Jeremy Evans,27,UTA,38,71,13,11,12,5,90,1794871
Jeremy Lamb,22,OKC,47,107,44,21,6,27,295,2202000
Jeremy Lin,26,LAL,74,196,339,82,32,166,832,14898938
Jerome Jordan,28,BRK,44,105,13,8,15,22,138,915243
Jerrelle Benimon,23,UTA,2,3,0,0,0,1,0,35000
Jerryd Bayless,26,MIL,77,211,233,59,12,133,598,3000000
Jimmer Fredette,25,NOP,50,40,58,15,2,33,178,948163
Jimmy Butler,25,CHI,65,379,212,114,36,93,1301,2008748
Joakim Noah,29,CHI,67,646,312,48,74,123,485,12700000
Jodie Meeks,27,DET,60,104,79,59,6,57,663,6000000
Joe Harris,23,CLE,51,41,26,7,2,27,136,884879
Joe Ingles,27,UTA,79,175,182,72,10,98,396,507336
Joe Johnson,33,BRK,80,384,292,59,14,137,1154,23180790
Joel Anthony,32,DET,49,93,5,12,49,12,87,3800000
Joel Freeland,27,POR,48,191,16,9,23,23,169,3013512
Joey Dorsey,31,HOU,69,279,25,40,25,41,184,948163
Joffrey Lauvergne,23,DEN,24,77,13,8,10,22,93,1790281
John Henson,24,MIL,67,312,59,28,135,87,470,1987320
John Jenkins,23,ATL,24,39,13,10,0,8,135,1312920
John Lucas III,32,DET,21,16,60,8,0,16,98,336966
John Salmons,35,NOP,21,21,13,9,4,5,42,1000000
John Wall,24,WAS,79,366,792,138,45,304,1387,14746000
Johnny O'Bryant,21,MIL,34,64,17,5,4,25,100,600000
